Date,Open,High,Low,Close,Adj Close,Volume
2023-04-04,348.489990,349.799988,343.950012,346.750000,346.750000,3298100
2023-04-05,345.299988,345.429993,336.250000,342.350006,342.350006,4205500
2023-04-06,339.339996,340.480011,332.630005,339.329987,339.329987,4660500
2023-04-10,335.269989,339.880005,333.359985,338.989990,338.989990,2657900
2023-04-11,343.450012,347.140015,337.640015,338.209991,338.209991,4044800
2023-04-12,340.809998,342.799988,330.040009,331.029999,331.029999,3965400
2023-04-13,339.989990,346.429993,338.750000,346.190002,346.190002,7406400
2023-04-14,342.940002,344.850006,336.410004,338.630005,338.630005,5350500
2023-04-17,338.000000,338.390015,327.500000,332.720001,332.720001,6136000
2023-04-18,335.000000,337.190002,330.500000,333.700012,333.700012,17944500
2023-04-19,324.209991,325.750000,316.100006,323.119995,323.119995,22128300
2023-04-20,320.390015,331.429993,318.329987,325.350006,325.350006,9947800
2023-04-21,323.000000,328.290009,319.500000,327.980011,327.980011,6348000
2023-04-24,330.200012,334.660004,326.750000,329.019989,329.019989,5586600
2023-04-25,328.500000,328.660004,321.100006,322.549988,322.549988,5426600
2023-04-26,321.359985,325.899994,320.470001,321.149994,321.149994,4623200
2023-04-27,324.299988,327.450012,317.440002,325.850006,325.850006,5618800
2023-04-28,325.239990,330.809998,324.000000,329.929993,329.929993,4221900
2023-05-01,329.440002,331.230011,318.089996,324.119995,324.119995,5341500
2023-05-02,325.000000,326.070007,315.619995,317.549988,317.549988,4318600
2023-05-03,317.549988,324.619995,315.850006,319.299988,319.299988,5064100
2023-05-04,319.010010,323.609985,317.950012,320.779999,320.779999,3879700
2023-05-05,323.609985,324.149994,319.440002,322.760010,322.760010,3988600
2023-05-08,322.989990,332.559998,322.029999,331.209991,331.209991,5488600
2023-05-09,330.670013,336.320007,329.739990,332.140015,332.140015,5544900
2023-05-10,335.209991,337.109985,329.510010,335.420013,335.420013,4289900
2023-05-11,334.980011,345.470001,331.839996,344.760010,344.760010,8033500
2023-05-12,344.760010,348.170013,337.359985,339.890015,339.890015,6079900
2023-05-15,340.619995,341.899994,335.540009,335.890015,335.890015,3653000
2023-05-16,334.000000,335.170013,331.910004,333.750000,333.750000,3332200
2023-05-17,331.760010,341.380005,329.619995,339.959991,339.959991,3958800
2023-05-18,347.250000,375.869995,346.369995,371.290009,371.290009,20925200
2023-05-19,369.859985,369.989990,363.809998,365.359985,365.359985,7850900
2023-05-22,365.359985,372.010010,362.500000,363.010010,363.010010,5406400
2023-05-23,360.239990,364.170013,354.309998,355.989990,355.989990,6866100
2023-05-24,356.929993,367.149994,356.630005,364.850006,364.850006,7973300
2023-05-25,359.609985,367.450012,357.420013,359.000000,359.000000,6263100
2023-05-26,361.100006,383.760010,356.000000,378.880005,378.880005,9360400
2023-05-30,397.480011,405.109985,385.790009,392.980011,392.980011,10865000
2023-05-31,391.890015,396.260010,388.910004,395.230011,395.230011,6988000
2023-06-01,397.410004,407.519989,393.079987,403.130005,403.130005,7160100
2023-06-02,402.890015,406.579987,395.899994,400.470001,400.470001,5897300
2023-06-05,400.470001,413.859985,400.149994,403.540009,403.540009,7247400
2023-06-06,405.000000,405.119995,396.929993,399.290009,399.290009,4991500
2023-06-07,410.429993,418.950012,399.230011,399.769989,399.769989,11932400
2023-06-08,399.769989,409.540009,396.339996,409.369995,409.369995,5991100
2023-06-09,424.500000,425.899994,414.760010,420.019989,420.019989,12363000
2023-06-12,418.829987,424.700012,416.570007,423.970001,423.970001,5959500
